[2026-03-24 15:24:59] Daemon started (pid=2357686, interval=1800s)
[2026-03-24 15:25:01] Day3.98 | 🐦173 | 预测276±48 | HOLD [LOW] | P&L +19.8%
[2026-03-25 07:00:37] Day4.63 | 🐦193 | 预测311±43 | HOLD [LOW] | P&L +45.9%
[2026-03-25 07:01:37] Day4.63 | 🐦193 | 预测311±43 | HOLD [LOW] | P&L +45.9%
[2026-03-25 07:05:38] Day4.63 | 🐦193 | 预测311±43 | HOLD [LOW] | P&L +45.9%
[2026-03-25 07:06:38] Day4.63 | 🐦193 | 预测310±43 | HOLD [LOW] | P&L +45.9%
[2026-03-25 07:10:39] Day4.63 | 🐦193 | 预测310±43 | HOLD [LOW] | P&L +45.9%
[2026-03-25 07:11:39] Day4.63 | 🐦193 | 预测310±43 | HOLD [LOW] | P&L +45.9%
[2026-03-25 07:15:40] Day4.64 | 🐦193 | 预测310±43 | HOLD [LOW] | P&L +45.9%
[2026-03-25 07:16:40] Day4.64 | 🐦193 | 预测310±43 | HOLD [LOW] | P&L +45.9%
[2026-03-25 07:20:41] Day4.64 | 🐦193 | 预测310±43 | HOLD [LOW] | P&L +45.9%
[2026-03-25 07:21:41] Day4.64 | 🐦193 | 预测310±43 | HOLD [LOW] | P&L +45.9%
[2026-03-25 07:25:42] Day4.64 | 🐦193 | 预测310±43 | HOLD [LOW] | P&L +47.8%
[2026-03-25 07:26:42] Day4.64 | 🐦193 | 预测310±43 | HOLD [LOW] | P&L +47.8%
[2026-03-25 07:30:43] Day4.65 | 🐦193 | 预测310±43 | HOLD [LOW] | P&L +51.2%
[2026-03-25 07:31:43] Day4.65 | 🐦193 | 预测310±43 | HOLD [LOW] | P&L +51.2%
[2026-03-25 07:35:44] Day4.65 | 🐦193 | 预测309±43 | HOLD [LOW] | P&L +51.2%
[2026-03-25 07:36:44] Day4.65 | 🐦193 | 预测309±43 | HOLD [LOW] | P&L +51.2%
[2026-03-25 07:40:45] Day4.65 | 🐦193 | 预测309±43 | HOLD [LOW] | P&L +49.3%
[2026-03-25 07:41:45] Day4.65 | 🐦193 | 预测309±43 | HOLD [LOW] | P&L +49.3%
[2026-03-25 07:45:46] Day4.66 | 🐦193 | 预测309±43 | HOLD [LOW] | P&L +49.3%
[2026-03-25 07:46:46] Day4.66 | 🐦193 | 预测309±43 | HOLD [LOW] | P&L +49.3%
[2026-03-25 07:50:46] Day4.66 | 🐦193 | 预测309±43 | HOLD [LOW] | P&L +47.4%
[2026-03-25 07:51:47] Day4.66 | 🐦193 | 预测309±43 | HOLD [LOW] | P&L +47.4%
[2026-03-25 07:55:47] Day4.66 | 🐦193 | 预测309±43 | HOLD [LOW] | P&L +47.4%
[2026-03-25 07:56:48] Day4.66 | 🐦193 | 预测309±43 | HOLD [LOW] | P&L +47.4%
[2026-03-25 08:00:48] Day4.67 | 🐦193 | 预测309±43 | HOLD [LOW] | P&L +45.9%
[2026-03-25 08:01:49] Day4.67 | 🐦193 | 预测309±43 | HOLD [LOW] | P&L +45.9%
[2026-03-25 08:05:49] Day4.67 | 🐦193 | 预测308±43 | HOLD [LOW] | P&L +50.8%
[2026-03-25 08:06:49] Day4.67 | 🐦193 | 预测308±43 | HOLD [LOW] | P&L +52.7%
[2026-03-25 08:10:50] Day4.67 | 🐦193 | 预测308±43 | HOLD [LOW] | P&L +52.7%
[2026-03-25 08:11:50] Day4.67 | 🐦193 | 预测308±43 | HOLD [LOW] | P&L +52.7%
[2026-03-25 08:15:50] Day4.68 | 🐦193 | 预测308±43 | HOLD [LOW] | P&L +49.8%
[2026-03-25 08:16:51] Day4.68 | 🐦193 | 预测308±43 | HOLD [LOW] | P&L +49.8%
[2026-03-25 08:20:51] Day4.68 | 🐦193 | 预测308±43 | HOLD [LOW] | P&L +49.8%
[2026-03-25 08:21:52] Day4.68 | 🐦193 | 预测308±43 | HOLD [LOW] | P&L +49.8%
[2026-03-25 08:25:52] Day4.68 | 🐦193 | 预测308±43 | HOLD [LOW] | P&L +49.8%
[2026-03-25 08:26:53] Day4.69 | 🐦193 | 预测308±43 | HOLD [LOW] | P&L +49.8%
[2026-03-25 08:30:53] Day4.69 | 🐦193 | 预测308±42 | HOLD [LOW] | P&L +49.8%
[2026-03-25 08:31:54] Day4.69 | 🐦193 | 预测308±42 | HOLD [LOW] | P&L +49.8%
[2026-03-25 08:35:53] Day4.69 | 🐦193 | 预测307±42 | HOLD [LOW] | P&L +49.8%
[2026-03-25 08:36:55] Day4.69 | 🐦193 | 预测307±42 | HOLD [LOW] | P&L +49.8%
[2026-03-25 08:40:54] Day4.7 | 🐦193 | 预测307±42 | HOLD [LOW] | P&L +48.3%
[2026-03-25 08:41:56] Day4.7 | 🐦193 | 预测307±42 | HOLD [LOW] | P&L +48.3%
[2026-03-25 08:45:55] Day4.7 | 🐦193 | 预测307±42 | HOLD [LOW] | P&L +46.8%
[2026-03-25 08:46:57] Day4.7 | 🐦193 | 预测307±42 | HOLD [LOW] | P&L +46.8%
[2026-03-25 08:50:56] Day4.7 | 🐦193 | 预测307±42 | HOLD [LOW] | P&L +46.8%
[2026-03-25 08:51:59] Day4.7 | 🐦193 | 预测307±42 | HOLD [LOW] | P&L +46.8%
[2026-03-25 08:55:57] Day4.71 | 🐦193 | 预测307±42 | HOLD [LOW] | P&L +46.8%
[2026-03-25 08:57:00] Day4.71 | 🐦193 | 预测307±42 | HOLD [LOW] | P&L +46.8%
[2026-03-25 09:00:58] Day4.71 | 🐦193 | 预测307±42 | HOLD [LOW] | P&L +48.7%
[2026-03-25 09:02:01] Day4.71 | 🐦193 | 预测307±42 | HOLD [LOW] | P&L +50.7%
[2026-03-25 09:05:59] Day4.71 | 🐦193 | 预测306±42 | HOLD [LOW] | P&L +50.7%
[2026-03-25 09:07:01] Day4.71 | 🐦193 | 预测306±42 | HOLD [LOW] | P&L +50.7%
[2026-03-25 09:11:00] Day4.72 | 🐦193 | 预测306±42 | HOLD [LOW] | P&L +50.7%
[2026-03-25 09:12:02] Day4.72 | 🐦193 | 预测306±42 | HOLD [LOW] | P&L +50.7%
[2026-03-25 09:16:01] Day4.72 | 🐦193 | 预测306±42 | HOLD [LOW] | P&L +50.7%
[2026-03-25 09:17:03] Day4.72 | 🐦193 | 预测306±42 | HOLD [LOW] | P&L +46.8%
[2026-03-25 09:21:02] Day4.72 | 🐦193 | 预测306±42 | HOLD [LOW] | P&L +46.8%
[2026-03-25 09:22:04] Day4.72 | 🐦193 | 预测306±42 | HOLD [LOW] | P&L +46.8%
[2026-03-25 09:26:03] Day4.73 | 🐦193 | 预测306±42 | HOLD [LOW] | P&L +44.9%
[2026-03-25 09:27:05] Day4.73 | 🐦193 | 预测306±42 | HOLD [LOW] | P&L +44.9%
[2026-03-25 09:31:04] Day4.73 | 🐦193 | 预测306±42 | HOLD [LOW] | P&L +43.0%
[2026-03-25 09:32:05] Day4.73 | 🐦193 | 预测306±42 | HOLD [LOW] | P&L +43.0%
[2026-03-25 09:36:04] Day4.73 | 🐦193 | 预测305±42 | HOLD [LOW] | P&L +40.0%
[2026-03-25 09:37:06] Day4.73 | 🐦193 | 预测305±42 | HOLD [LOW] | P&L +40.0%
[2026-03-25 09:41:05] Day4.74 | 🐦193 | 预测305±42 | HOLD [LOW] | P&L +43.9%
[2026-03-25 09:42:07] Day4.74 | 🐦193 | 预测305±42 | HOLD [LOW] | P&L +43.9%
[2026-03-25 09:46:06] Day4.74 | 🐦193 | 预测305±42 | HOLD [LOW] | P&L +47.7%
[2026-03-25 09:47:08] Day4.74 | 🐦193 | 预测305±42 | HOLD [LOW] | P&L +45.8%
[2026-03-25 09:51:07] Day4.74 | 🐦193 | 预测305±42 | HOLD [LOW] | P&L +43.9%
[2026-03-25 09:52:09] Day4.74 | 🐦193 | 预测305±42 | HOLD [LOW] | P&L +43.9%
[2026-03-25 09:56:07] Day4.75 | 🐦193 | 预测305±42 | HOLD [LOW] | P&L +43.9%
[2026-03-25 09:57:09] Day4.75 | 🐦193 | 预测305±42 | HOLD [LOW] | P&L +43.9%
[2026-03-25 10:01:08] Day4.75 | 🐦193 | 预测305±42 | HOLD [LOW] | P&L +43.9%
[2026-03-25 10:02:11] Day4.75 | 🐦193 | 预测304±42 | HOLD [LOW] | P&L +43.9%
[2026-03-25 10:06:09] Day4.75 | 🐦193 | 预测304±42 | HOLD [LOW] | P&L +43.9%
[2026-03-25 10:07:12] Day4.75 | 🐦193 | 预测304±42 | HOLD [LOW] | P&L +43.9%
[2026-03-25 10:11:10] Day4.76 | 🐦193 | 预测304±42 | HOLD [LOW] | P&L +47.7%
[2026-03-25 10:12:13] Day4.76 | 🐦193 | 预测304±42 | HOLD [LOW] | P&L +47.7%
[2026-03-25 10:16:12] Day4.76 | 🐦193 | 预测304±42 | HOLD [LOW] | P&L +47.7%
[2026-03-25 10:17:13] Day4.76 | 🐦193 | 预测304±42 | HOLD [LOW] | P&L +47.7%
[2026-03-25 10:21:12] Day4.76 | 🐦193 | 预测304±42 | HOLD [LOW] | P&L +47.7%
[2026-03-25 10:22:15] Day4.77 | 🐦193 | 预测304±42 | HOLD [LOW] | P&L +47.7%
[2026-03-25 10:26:13] Day4.77 | 🐦193 | 预测304±42 | HOLD [LOW] | P&L +49.7%
[2026-03-25 10:27:22] Day4.77 | 🐦193 | 预测304±42 | HOLD [LOW] | P&L +49.7%
[2026-03-25 10:31:14] Day4.77 | 🐦193 | 预测304±42 | HOLD [LOW] | P&L +49.7%
[2026-03-25 10:32:23] Day4.77 | 🐦193 | 预测303±42 | HOLD [LOW] | P&L +49.7%
[2026-03-25 10:36:14] Day4.78 | 🐦193 | 预测303±42 | HOLD [LOW] | P&L +49.7%
[2026-03-25 10:37:24] Day4.78 | 🐦193 | 预测303±42 | HOLD [LOW] | P&L +49.7%
[2026-03-25 10:41:15] Day4.78 | 🐦193 | 预测303±42 | HOLD [LOW] | P&L +51.6%
[2026-03-25 10:42:25] Day4.78 | 🐦193 | 预测303±42 | HOLD [LOW] | P&L +51.6%
[2026-03-25 10:46:16] Day4.78 | 🐦193 | 预测303±42 | HOLD [LOW] | P&L +51.6%
[2026-03-25 10:47:26] Day4.78 | 🐦193 | 预测303±42 | HOLD [LOW] | P&L +51.6%
[2026-03-25 10:51:17] Day4.79 | 🐦193 | 预测303±42 | HOLD [LOW] | P&L +51.6%
[2026-03-25 10:52:27] Day4.79 | 🐦193 | 预测303±42 | HOLD [LOW] | P&L +51.6%
[2026-03-25 10:56:18] Day4.79 | 🐦193 | 预测303±42 | HOLD [LOW] | P&L +51.6%
[2026-03-25 10:57:28] Day4.79 | 🐦193 | 预测303±42 | HOLD [LOW] | P&L +51.6%
[2026-03-25 11:01:18] Day4.79 | 🐦193 | 预测302±42 | HOLD [LOW] | P&L +51.6%
[2026-03-25 11:02:29] Day4.79 | 🐦193 | 预测302±42 | HOLD [LOW] | P&L +47.7%
[2026-03-25 11:06:19] Day4.8 | 🐦193 | 预测302±42 | HOLD [LOW] | P&L +47.7%
[2026-03-25 11:07:30] Day4.8 | 🐦193 | 预测302±42 | HOLD [LOW] | P&L +47.7%
[2026-03-25 11:11:20] Day4.8 | 🐦193 | 预测302±42 | HOLD [LOW] | P&L +46.8%
[2026-03-25 11:12:31] Day4.8 | 🐦193 | 预测302±42 | HOLD [LOW] | P&L +46.8%
[2026-03-25 11:16:21] Day4.8 | 🐦193 | 预测302±42 | HOLD [LOW] | P&L +46.8%
[2026-03-25 11:17:32] Day4.8 | 🐦193 | 预测302±42 | HOLD [LOW] | P&L +46.8%
[2026-03-25 11:21:21] Day4.81 | 🐦193 | 预测302±42 | HOLD [LOW] | P&L +46.8%
[2026-03-25 11:22:33] Day4.81 | 🐦193 | 预测302±42 | HOLD [LOW] | P&L +46.8%
[2026-03-25 11:26:22] Day4.81 | 🐦193 | 预测302±42 | HOLD [LOW] | P&L +49.8%
[2026-03-25 11:27:34] Day4.81 | 🐦193 | 预测302±42 | HOLD [LOW] | P&L +49.8%
[2026-03-25 11:31:23] Day4.81 | 🐦193 | 预测301±41 | HOLD [LOW] | P&L +49.8%
[2026-03-25 11:32:35] Day4.81 | 🐦193 | 预测301±41 | HOLD [LOW] | P&L +49.8%
[2026-03-25 11:36:24] Day4.82 | 🐦193 | 预测301±41 | HOLD [LOW] | P&L +49.8%
[2026-03-25 11:37:36] Day4.82 | 🐦193 | 预测301±41 | HOLD [LOW] | P&L +49.8%
[2026-03-25 11:41:26] Day4.82 | 🐦193 | 预测301±41 | HOLD [LOW] | P&L +49.8%
[2026-03-25 11:42:37] Day4.82 | 🐦193 | 预测301±41 | HOLD [LOW] | P&L +49.3%
[2026-03-25 11:46:26] Day4.82 | 🐦193 | 预测301±41 | HOLD [LOW] | P&L +49.3%
[2026-03-25 11:47:38] Day4.82 | 🐦193 | 预测301±41 | HOLD [LOW] | P&L +45.9%
[2026-03-25 11:51:27] Day4.83 | 🐦193 | 预测301±41 | HOLD [LOW] | P&L +45.9%
[2026-03-25 11:52:39] Day4.83 | 🐦193 | 预测301±41 | HOLD [LOW] | P&L +45.9%
[2026-03-25 11:56:29] Day4.83 | 🐦193 | 预测301±41 | HOLD [LOW] | P&L +45.9%
[2026-03-25 11:57:40] Day4.83 | 🐦193 | 预测301±41 | HOLD [LOW] | P&L +47.8%
[2026-03-25 12:01:30] Day4.83 | 🐦193 | 预测300±41 | HOLD [LOW] | P&L +47.8%
[2026-03-25 12:02:42] Day4.84 | 🐦193 | 预测300±41 | HOLD [LOW] | P&L +45.9%
[2026-03-25 12:06:31] Day4.84 | 🐦193 | 预测300±41 | HOLD [LOW] | P&L +44.4%
[2026-03-25 12:07:42] Day4.84 | 🐦193 | 预测300±41 | HOLD [LOW] | P&L +44.4%
[2026-03-25 12:11:32] Day4.84 | 🐦193 | 预测300±41 | HOLD [LOW] | P&L +45.9%
[2026-03-25 12:12:44] Day4.84 | 🐦193 | 预测300±41 | HOLD [LOW] | P&L +45.9%
[2026-03-25 12:16:34] Day4.84 | 🐦193 | 预测300±41 | HOLD [LOW] | P&L +45.9%
[2026-03-25 12:17:44] Day4.85 | 🐦193 | 预测300±41 | HOLD [LOW] | P&L +45.9%
[2026-03-25 12:21:29] Daemon shutting down
[2026-03-25 12:22:45] Day4.85 | 🐦193 | 预测300±41 | HOLD [LOW] | P&L +31.4%
[2026-03-25 12:27:46] Day4.85 | 🐦193 | 预测300±41 | HOLD [LOW] | P&L +43.0%
[2026-03-25 12:32:47] Day4.86 | 🐦193 | 预测299±41 | HOLD [LOW] | P&L +44.4%
[2026-03-25 12:37:47] Day4.86 | 🐦193 | 预测299±41 | HOLD [LOW] | P&L +41.0%
[2026-03-25 12:42:48] Day4.86 | 🐦193 | 预测299±41 | HOLD [LOW] | P&L +43.0%
[2026-03-25 12:47:49] Day4.87 | 🐦193 | 预测299±41 | HOLD [LOW] | P&L +41.5%
[2026-03-25 12:52:49] Day4.87 | 🐦193 | 预测299±41 | HOLD [LOW] | P&L +40.6%
[2026-03-25 12:57:50] Day4.87 | 🐦193 | 预测299±41 | HOLD [LOW] | P&L +41.5%
[2026-03-25 13:02:51] Day4.88 | 🐦193 | 预测298±41 | HOLD [LOW] | P&L +41.5%
[2026-03-25 13:07:51] Day4.88 | 🐦195 | 预测300±41 | HOLD [LOW] | P&L +45.9%
[2026-03-25 13:12:52] Day4.88 | 🐦196 | 预测301±41 | HOLD [LOW] | P&L +43.0%
[2026-03-25 13:17:53] Day4.89 | 🐦198 | 预测303±41 | HOLD [LOW] | P&L +45.9%
[2026-03-25 13:22:54] Day4.89 | 🐦199 | 预测304±41 | HOLD [LOW] | P&L +42.5%
[2026-03-25 13:27:54] Day4.89 | 🐦200 | 预测304±41 | HOLD [LOW] | P&L +44.0%
[2026-03-25 13:32:55] Day4.9 | 🐦200 | 预测304±41 | HOLD [LOW] | P&L +51.7%
[2026-03-25 13:37:56] Day4.9 | 🐦200 | 预测304±41 | HOLD [LOW] | P&L +50.2%
[2026-03-25 13:42:56] Day4.9 | 🐦200 | 预测304±41 | HOLD [LOW] | P&L +48.3%
[2026-03-25 13:47:57] Day4.91 | 🐦200 | 预测304±41 | HOLD [LOW] | P&L +48.3%
[2026-03-25 13:52:58] Day4.91 | 🐦200 | 预测304±41 | HOLD [LOW] | P&L +48.7%
[2026-03-25 13:57:58] Day4.92 | 🐦202 | 预测305±41 | HOLD [LOW] | P&L +50.7%
[2026-03-25 14:02:59] Day4.92 | 🐦202 | 预测305±41 | HOLD [LOW] | P&L +54.5%
[2026-03-25 14:08:00] Day4.92 | 🐦202 | 预测305±41 | HOLD [LOW] | P&L +54.5%
[2026-03-25 14:13:00] Day4.93 | 🐦202 | 预测305±41 | HOLD [LOW] | P&L +56.0%
[2026-03-25 14:17:34] Daemon shutting down
[2026-03-25 14:17:35] Daemon started (pid=3026275, interval=300s)
[2026-03-25 14:17:36] ERROR: 'action'
[2026-03-25 14:18:46] Daemon shutting down
[2026-03-25 14:18:46] Daemon started (pid=3027153, interval=300s)
[2026-03-25 14:18:48] Day4.93 | 🐦202 | 预测305±41 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 14:23:49] Day4.93 | 🐦202 | 预测305±41 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 14:28:51] Day4.94 | 🐦202 | 预测304±41 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 14:33:54] Day4.94 | 🐦202 | 预测304±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 14:38:55] Day4.94 | 🐦202 | 预测304±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 14:43:56] Day4.95 | 🐦202 | 预测304±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 14:48:58] Day4.95 | 🐦202 | 预测304±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 14:53:59] Day4.95 | 🐦202 | 预测304±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 14:59:00] Day4.96 | 🐦202 | 预测303±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 15:04:01] Day4.96 | 🐦202 | 预测303±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 15:09:04] Day4.96 | 🐦202 | 预测303±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 15:14:07] Day4.97 | 🐦202 | 预测303±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 15:19:08] Day4.97 | 🐦202 | 预测303±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 15:24:10] Day4.98 | 🐦202 | 预测303±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 15:29:12] Day4.98 | 🐦202 | 预测302±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 15:34:14] Day4.98 | 🐦202 | 预测302±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 15:39:15] Day4.99 | 🐦202 | 预测302±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 15:44:16] Day4.99 | 🐦202 | 预测302±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 15:49:18] Day4.99 | 🐦202 | 预测302±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 15:54:19] Day5.0 | 🐦202 | 预测301±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 15:59:20] Day5.0 | 🐦202 | 预测301±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 16:04:21] Day5.0 | 🐦202 | 预测301±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 16:09:23] Day5.01 | 🐦202 | 预测301±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 16:14:25] Day5.01 | 🐦202 | 预测301±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 16:19:26] Day5.01 | 🐦202 | 预测301±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 16:24:27] Day5.02 | 🐦202 | 预测300±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 16:29:28] Day5.02 | 🐦202 | 预测300±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 16:34:30] Day5.02 | 🐦202 | 预测300±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 16:39:31] Day5.03 | 🐦202 | 预测300±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 16:44:32] Day5.03 | 🐦202 | 预测300±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 16:49:33] Day5.03 | 🐦202 | 预测300±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 16:54:37] Day5.04 | 🐦202 | 预测299±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 16:59:38] Day5.04 | 🐦202 | 预测299±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 17:04:39] Day5.04 | 🐦202 | 预测299±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 17:09:40] Day5.05 | 🐦202 | 预测299±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 17:14:41] Day5.05 | 🐦202 | 预测299±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 17:19:43] Day5.06 | 🐦202 | 预测299±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 17:24:44] Day5.06 | 🐦202 | 预测298±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 17:29:45] Day5.06 | 🐦202 | 预测298±40 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 17:34:46] Day5.07 | 🐦202 | 预测298±39 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 17:39:47] Day5.07 | 🐦202 | 预测298±39 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 17:44:49] Day5.07 | 🐦202 | 预测298±39 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 17:49:50] Day5.08 | 🐦202 | 预测298±39 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 17:54:51] Day5.08 | 🐦202 | 预测297±39 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 17:59:52] Day5.08 | 🐦202 | 预测297±39 | HOLD [LOW] | 持仓0 | USDC $7.198666
[2026-03-25 18:05:17] Day5.09 | 🐦202 | 预测297±39 | ENTRY [MEDIUM] | 持仓1 | USDC $3.196666 | EXEC: ✅ BUY 320-339 66.7股@0.06
[2026-03-25 18:10:18] Day5.09 | 🐦202 | 预测297±39 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 18:15:19] Day5.09 | 🐦202 | 预测297±39 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 18:20:21] Day5.1 | 🐦202 | 预测296±39 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 18:25:22] Day5.1 | 🐦202 | 预测296±39 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 18:30:23] Day5.1 | 🐦202 | 预测296±39 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 18:35:24] Day5.11 | 🐦202 | 预测296±39 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 18:40:26] Day5.11 | 🐦202 | 预测296±39 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 18:45:27] Day5.11 | 🐦202 | 预测296±39 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 18:50:28] Day5.12 | 🐦202 | 预测295±39 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 18:55:29] Day5.12 | 🐦202 | 预测295±39 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 19:00:33] Day5.13 | 🐦202 | 预测295±39 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 19:05:34] Day5.13 | 🐦202 | 预测295±39 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 19:10:35] Day5.13 | 🐦202 | 预测295±39 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 19:15:37] Day5.14 | 🐦203 | 预测296±39 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 19:20:38] Day5.14 | 🐦204 | 预测296±39 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 19:25:40] Day5.14 | 🐦205 | 预测297±39 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 19:30:41] Day5.15 | 🐦207 | 预测299±39 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 19:35:42] Day5.15 | 🐦209 | 预测301±39 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 19:40:46] Day5.15 | 🐦209 | 预测301±39 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 19:45:47] Day5.16 | 🐦209 | 预测301±39 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 19:50:48] Day5.16 | 🐦209 | 预测300±39 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 19:55:49] Day5.16 | 🐦209 | 预测300±39 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 20:00:51] Day5.17 | 🐦209 | 预测300±39 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 20:05:52] Day5.17 | 🐦209 | 预测300±39 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 20:10:54] Day5.17 | 🐦209 | 预测300±39 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 20:15:55] Day5.18 | 🐦209 | 预测300±39 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 20:20:59] Day5.18 | 🐦209 | 预测299±39 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 20:26:00] Day5.18 | 🐦209 | 预测299±39 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 20:31:03] Day5.19 | 🐦209 | 预测299±38 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 20:36:05] Day5.19 | 🐦209 | 预测299±38 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 20:41:08] Day5.2 | 🐦209 | 预测299±38 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 20:46:09] Day5.2 | 🐦209 | 预测299±38 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 20:51:10] Day5.2 | 🐦209 | 预测298±38 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 20:56:15] Day5.21 | 🐦209 | 预测298±38 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 21:01:17] Day5.21 | 🐦209 | 预测298±38 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 21:06:18] Day5.21 | 🐦209 | 预测298±38 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 21:11:19] Day5.22 | 🐦209 | 预测298±38 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 21:16:20] Day5.22 | 🐦209 | 预测297±38 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 21:21:22] Day5.22 | 🐦209 | 预测297±38 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 21:26:23] Day5.23 | 🐦209 | 预测297±38 | HOLD [LOW] | 持仓1 | USDC $3.196666
[2026-03-25 21:31:24] Day5.23 | 🐦209 | 预测297±38 | HOLD [LOW] | 持仓1 | USDC $3.196666
